%A,%T,%C,%G,GC_content,Shannon_entropy,Quartile1_GC,Quartile2_GC,Quartile3_GC,Quartile4_GC,Length,Virus_Name,Accession
0.2487637885127425,0.2788132369722328,0.22632179535945227,0.24610117915557247,0.47242297451502474,1.995971746666281,0.4764079147640791,0.4307458143074581,0.5235920852359208,0.45896656534954405,2629,abutilon golden mosaic virus,NC_038438.1
0.24880382775119617,0.2874493927125506,0.22635259477364741,0.23739418476260582,0.4637467795362532,1.9940040421596452,0.508100147275405,0.422680412371134,0.48306332842415317,0.4411764705882353,2717,abutilon mosaic bolivia virus,NC_015045.1
0.28187919463087246,0.3012677106636838,0.18978374347501864,0.22706935123042504,0.4168530947054437,1.9770851300580659,0.4223880597014925,0.4098360655737705,0.4582089552238806,0.3770491803278688,2682,abutilon mosaic bolivia virus,NC_015048.1
0.24197810494526237,0.28123820309550773,0.22461306153265384,0.25217063042657606,0.47678369195922987,1.9951675901224035,0.5075528700906344,0.4425981873111782,0.47583081570996977,0.48114630467571645,2649,abutilon mosaic brazil virus,NC_016574.1
0.25902012913026967,0.31750854538549184,0.20129130269654386,0.22218002278769464,0.4234713254842385,1.9780035760087291,0.44376899696048633,0.3951367781155015,0.44072948328267475,0.4142640364188164,2633,abutilon mosaic brazil virus,NC_016577.1
0.24278115501519756,0.28609422492401215,0.2336626139817629,0.23746200607902734,0.47112462006079026,1.9950091305700222,0.49240121580547114,0.4209726443768997,0.4939209726443769,0.47720364741641336,2632,abutilon mosaic virus,NC_001928.1
0.24642166344294003,0.2905222437137331,0.21470019342359767,0.24835589941972921,0.4630560928433269,1.9916764597439625,0.4628482972136223,0.48761609907120745,0.47058823529411764,0.4312210200927357,2585,abutilon mosaic virus,NC_001929.1
0.2820606503470954,0.31567409572524663,0.17975886006576544,0.22250639386189258,0.402265253927658,1.967613001143525,0.40789473684210525,0.402046783625731,0.4473684210526316,0.3518248175182482,2737,african cassava mosaic burkina faso virus,NC_055127.1
0.2682310469314079,0.29530685920577615,0.19783393501805055,0.23862815884476535,0.43646209386281587,1.9846267674111062,0.4884393063583815,0.38095238095238093,0.4595375722543353,0.417027417027417,2770,african cassava mosaic burkina faso virus,NC_055128.1
0.2695214105793451,0.28463476070528965,0.20007196833393306,0.24577186038143217,0.4458438287153652,1.9878385048680738,0.4812680115273775,0.39568345323741005,0.4719424460431655,0.43453237410071943,2779,african cassava mosaic virus,NC_001467.1
0.2852422907488987,0.3186490455212922,0.17327459618208516,0.22283406754772395,0.39610866372980913,1.9628104063855707,0.3920704845814978,0.4111600587371512,0.42731277533039647,0.35389133627019087,2724,african cassava mosaic virus,NC_001468.1
0.26839038601602333,0.30917698470502547,0.19628550619082302,0.22614712308812818,0.4224326292789512,1.978965797416542,0.45918367346938777,0.3653566229985444,0.4489795918367347,0.4163027656477438,2746,ageratum enation virus,NC_003434.1
0.2568206620589305,0.30629319752637324,0.20880320116405965,0.2280829392506366,0.43688614041469626,1.9847224772786565,0.4585152838427948,0.39446870451237265,0.4672489082969432,0.4273255813953488,2749,ageratum leaf curl sichuan virus,NC_055492.1
0.26508226691042047,0.31224862888482635,0.19853747714808043,0.22413162705667275,0.4226691042047532,1.9787743593653735,0.4494875549048316,0.3786549707602339,0.44590643274853803,0.4166666666666667,2735,ageratum leaf curl virus,NC_006384.1
0.2663280116110305,0.31712626995645865,0.19775036284470246,0.2187953555878084,0.41654571843251087,1.9758483322241644,0.4513788098693759,0.3454281567489115,0.44702467343976776,0.4223512336719884,2756,ageratum yellow vein hualian virus,NC_010812.1
0.2631004366812227,0.3104075691411936,0.1957787481804949,0.23071324599708878,0.42649199417758366,1.979467809307908,0.46142649199417757,0.38573508005822416,0.462882096069869,0.39592430858806404,2748,ageratum yellow vein sri lanka virus,NC_002981.1
0.27059248554913296,0.3236994219653179,0.19978323699421965,0.20592485549132947,0.4057080924855491,1.9706968810331444,0.46098265895953755,0.34104046242774566,0.43352601156069365,0.3872832369942196,2768,ageratum yellow vein virus,NC_004090.1
0.2939890710382514,0.2910746812386157,0.1901639344262295,0.22477231329690345,0.414936247723133,1.9769247659292484,0.44752186588921283,0.380466472303207,0.37026239067055394,0.46142649199417757,2745,alfalfa leaf curl virus,NC_027714.1
